Time (s)	WE(1).Potential (V)	WE(1).Current (A)	Corrected time (s)	Index
355.032996103628	0.449798583984375	8.4259033203125E-07	354.04999910611	7082
355.082996103502	0.4498291015625	8.4442138671875E-07	354.099999105983	7083
355.132996103375	0.449859619140625	8.5235595703125E-07	354.149999105857	7084
355.182996103249	0.449798583984375	8.538818359375E-07	354.199999105731	7085
355.232996103123	0.44976806640625	8.5662841796875E-07	354.249999105605	7086
355.282996102997	0.449859619140625	8.6456298828125E-07	354.299999105478	7087
355.33299610287	0.449798583984375	8.6181640625E-07	354.349999105352	7088
355.382996102744	0.4498291015625	8.599853515625E-07	354.399999105226	7089
355.432996102618	0.44976806640625	8.612060546875E-07	354.4499991051	7090
355.482996102492	0.449798583984375	8.60595703125E-07	354.499999104974	7091
355.532996102365	0.44976806640625	8.612060546875E-07	354.549999104847	7092
355.582996102239	0.4498291015625	8.6151123046875E-07	354.599999104721	7093
355.632996102113	0.449859619140625	8.538818359375E-07	354.649999104595	7094
355.682996101987	0.449859619140625	8.4869384765625E-07	354.699999104469	7095
355.732996101861	0.4498291015625	8.4625244140625E-07	354.749999104342	7096
355.782996101734	0.4498291015625	8.441162109375E-07	354.799999104216	7097
355.832996101608	0.449859619140625	8.3953857421875E-07	354.84999910409	7098
355.882996101482	0.449859619140625	8.392333984375E-07	354.899999103964	7099
355.932996101356	0.44989013671875	8.355712890625E-07	354.949999103837	7100
355.982996101229	0.4498291015625	8.2489013671875E-07	354.999999103711	7101
356.032996101103	0.449798583984375	8.294677734375E-07	355.049999103585	7102
356.082996100977	0.4498291015625	8.233642578125E-07	355.099999103459	7103
356.132996100851	0.449798583984375	8.2275390625E-07	355.149999103332	7104
356.182996100724	0.4498291015625	8.233642578125E-07	355.199999103206	7105
356.232996100598	0.4498291015625	8.197021484375E-07	355.24999910308	7106
356.282996100472	0.449859619140625	8.1787109375E-07	355.299999102954	7107
356.332996100346	0.4498291015625	8.184814453125E-07	355.349999102827	7108
356.382996100219	0.449798583984375	8.197021484375E-07	355.399999102701	7109
356.432996100093	0.449798583984375	8.197021484375E-07	355.449999102575	7110
356.482996099967	0.449798583984375	8.245849609375E-07	355.499999102449	7111
356.532996099841	0.4498291015625	8.2366943359375E-07	355.549999102323	7112
356.582996099714	0.4498291015625	8.19091796875E-07	355.599999102196	7113
356.632996099588	0.4498291015625	8.2244873046875E-07	355.64999910207	7114
356.682996099462	0.449798583984375	8.203125E-07	355.699999101944	7115
356.732996099336	0.44976806640625	8.1817626953125E-07	355.749999101818	7116
356.78299609921	0.4498291015625	8.203125E-07	355.799999101691	7117
356.832996099083	0.4498291015625	8.160400390625E-07	355.849999101565	7118
356.882996098957	0.44976806640625	8.087158203125E-07	355.899999101439	7119
356.932996098831	0.449859619140625	8.1390380859375E-07	355.949999101313	7120
356.982996098705	0.449859619140625	8.0810546875E-07	355.999999101186	7121
